seq_no,F1,F2,F3,F4,F5,F6,Class
1,1,0,0,2,2,3,1
2,0,2,0,1,1,0,1
3,2,0,1,2,0,0,1
4,0,0,1,0,0,1,0
5,1,0,0,1,0,0,0
6,0,1,1,1,0,1,0
7,0,0,0,0,0,1,1
8,0,0,0,2,0,1,0
9,1,0,0,0,0,1,1
10,1,0,0,0,0,0,1
11,0,0,1,1,1,0,0
12,1,0,0,0,0,0,1
13,1,1,0,1,1,2,0
14,0,1,1,2,2,0,1
15,0,0,0,0,0,1,1
16,0,0,1,0,0,1,1
17,0,0,0,0,1,0,0
18,0,0,0,0,2,0,0
19,0,1,0,0,0,0,0
20,0,0,0,0,2,0,0
21,1,0,0,1,0,0,0
22,1,0,0,1,0,0,0
23,2,1,4,0,0,0,0
24,0,0,0,0,0,1,1
25,0,2,1,0,1,0,1
26,1,0,0,2,1,1,0
27,0,0,0,0,0,1,0
28,0,0,0,1,1,0,0
29,0,0,0,1,0,1,0
30,0,0,1,1,0,0,1
31,0,0,0,0,1,0,0
32,0,0,2,0,0,1,0
33,0,0,0,0,0,1,1
34,1,0,0,2,1,0,0
35,0,0,0,0,0,1,1
36,0,1,0,0,1,0,0
37,0,0,0,0,2,0,0
38,1,0,0,1,0,0,0
39,0,0,0,1,0,0,1
40,0,0,0,0,0,0,0
41,0,1,0,0,1,0,0
42,1,1,0,1,0,1,0
43,1,0,0,1,0,0,0
44,1,1,0,1,0,0,0
45,0,0,0,0,1,1,0
46,0,0,0,1,1,3,0
47,2,2,0,0,1,4,1
48,1,0,0,0,1,1,1
49,2,0,0,0,0,0,0
50,1,1,0,0,1,1,1
51,0,0,0,1,2,0,0
52,0,0,0,0,0,1,1
53,0,2,1,1,1,0,1
54,2,1,1,0,0,0,0
55,1,0,0,4,1,2,0
56,0,0,0,3,0,0,0
57,0,0,1,1,0,3,0
58,0,0,0,2,1,1,0
59,0,0,0,0,0,0,1
60,1,0,0,1,0,1,0
61,0,0,1,0,0,1,1
62,0,0,1,1,2,1,0
63,0,0,0,0,0,1,0
64,0,0,0,0,1,0,1
65,0,1,0,1,0,0,0
66,1,2,1,2,1,0,1
67,0,1,1,1,0,0,1
68,2,1,1,4,3,1,0
69,0,0,0,0,0,2,0
70,0,0,0,0,0,1,0
71,1,1,2,2,0,1,1
72,0,0,0,0,0,1,0
73,0,0,0,0,0,1,0
74,0,0,0,0,0,0,1
75,0,2,1,0,1,0,1
76,1,1,1,4,0,3,1
77,1,0,1,3,0,2,1
78,0,0,1,0,0,1,1
79,1,0,0,1,1,0,0
80,0,0,1,0,0,1,0
81,0,0,0,0,0,1,0
82,0,1,1,1,0,5,0
83,0,0,0,0,0,0,0
84,0,0,0,0,0,1,0
85,0,0,0,1,0,2,1
86,0,0,0,1,1,1,0
87,0,1,0,1,0,0,0
88,0,0,2,1,1,1,0
89,0,0,1,0,0,0,0
90,0,0,0,0,0,1,0
91,1,2,0,5,0,1,0
92,0,0,0,0,0,2,0
93,1,0,3,0,0,1,0
94,0,0,1,0,0,1,1
95,0,0,1,0,0,0,0
96,2,0,0,1,1,2,0
97,1,1,0,1,2,0,0
98,0,0,0,0,0,0,1
99,0,0,1,0,0,1,0
100,0,0,1,0,0,1,0
101,0,0,0,0,0,1,1
102,2,1,2,0,2,0,1
103,0,0,0,0,1,0,0
104,1,0,0,1,0,0,1
105,0,0,0,0,1,1,0
106,0,2,0,2,1,0,1
107,0,0,0,0,0,1,1
108,0,0,0,0,0,1,0
109,0,0,0,0,1,0,0
110,0,0,1,0,0,1,0
111,0,1,2,0,1,0,0
112,0,0,0,0,0,1,0
113,1,1,0,0,0,0,0
114,0,1,0,2,0,0,0
115,0,0,0,0,0,0,1
116,0,1,2,0,0,1,0
117,1,0,0,3,0,3,1
118,1,1,1,0,0,3,0
119,1,0,0,1,0,1,0
120,0,0,0,0,0,2,1
121,0,0,0,0,0,1,1
122,0,0,0,1,2,5,1
123,0,0,1,1,1,1,0
124,1,1,2,3,0,1,0
125,0,0,0,0,0,1,0
126,1,0,1,2,0,0,1
127,0,0,0,0,0,0,1
128,1,0,1,1,2,0,0
129,2,0,0,0,0,0,0
130,0,0,0,0,0,1,0
131,1,0,0,1,0,1,0
132,3,1,0,2,1,0,1
133,0,0,0,0,2,0,1
134,0,0,1,0,1,0,0
135,0,0,0,0,0,0,1
136,1,0,1,3,0,3,1
137,0,0,0,1,1,0,1
138,0,0,0,4,0,0,0
139,3,0,1,1,3,2,1
140,0,1,0,0,0,0,0
141,1,0,1,0,0,0,0
142,0,0,0,0,1,0,0
143,0,0,0,0,0,1,1
144,0,0,0,0,0,1,1
145,2,0,0,1,0,2,0
146,0,0,0,0,1,0,1
147,1,1,1,0,0,0,0
148,0,0,0,0,0,0,1
149,0,0,0,0,0,1,0
150,1,0,2,1,0,0,1
151,0,1,2,1,1,1,1
152,0,0,0,1,0,1,0
153,0,0,0,0,0,1,0
154,1,0,1,1,0,0,0
155,1,0,0,1,0,0,0
156,3,0,1,0,1,0,0
157,1,0,1,1,0,1,0
158,0,1,0,0,0,1,0
159,0,2,2,3,2,0,1
160,0,0,0,1,1,0,0
161,2,1,2,1,0,0,0
162,0,0,0,0,0,0,0
163,0,0,0,0,0,3,0
164,1,0,0,0,0,0,1
165,0,0,0,0,0,1,1
166,0,0,1,1,0,0,0
167,1,0,0,1,0,2,1
168,3,1,1,0,1,0,0
169,1,0,1,0,0,0,0
170,0,0,1,0,0,1,1
171,0,0,1,0,0,1,0
172,0,0,0,0,1,1,1
173,0,0,0,0,0,2,0
174,0,0,0,0,0,1,0
175,0,1,0,0,0,0,0
176,0,1,0,0,2,0,0
177,0,2,1,1,1,0,1
178,0,1,0,0,0,1,0
179,0,0,0,0,0,2,1
180,0,1,0,1,0,0,0
181,0,0,0,0,0,0,0
182,0,0,1,0,0,1,1
183,0,0,0,1,0,0,0
184,1,0,0,0,1,0,0
185,0,1,0,1,0,0,0
186,0,0,0,0,1,1,0
187,0,1,0,2,1,2,0
188,0,0,1,0,0,1,1
189,0,0,0,0,0,0,0
190,0,0,0,0,1,0,0
191,1,1,1,0,0,0,0
192,1,0,0,0,2,0,0
193,0,0,0,0,1,1,0
194,0,0,0,0,1,1,0
195,1,1,0,1,0,0,1
196,0,0,0,0,0,1,1
197,0,0,0,1,1,0,1
198,2,0,0,1,1,0,0
199,0,0,0,0,0,1,1
200,0,0,0,0,0,1,1
201,0,0,0,0,0,1,1
202,0,0,0,0,0,0,0
203,0,0,0,3,1,0,1
204,0,0,0,1,2,1,0
205,0,0,0,0,0,1,1
206,0,0,1,0,0,0,1
207,0,0,1,0,0,1,0
208,0,0,2,1,0,0,0
209,1,1,1,0,0,1,0
210,0,0,0,0,0,1,0
211,0,0,0,2,1,1,0
212,0,0,0,0,0,0,0
213,1,1,0,0,1,0,0
214,1,1,2,0,0,0,0
215,0,0,0,0,0,1,1
216,0,0,0,0,0,0,1
217,1,1,0,0,0,1,0
218,0,1,1,1,3,0,0
219,0,0,0,0,0,1,1
220,2,1,0,0,1,0,0
221,0,0,0,0,1,0,0
222,2,0,1,2,0,3,1
223,1,0,0,0,0,1,1
224,0,0,0,0,0,0,0
225,0,0,0,1,0,1,1
226,0,0,1,1,1,1,0
227,1,1,0,1,0,1,0
228,1,0,1,3,2,0,0
229,0,0,0,2,0,0,0
230,0,0,1,0,0,1,0
231,0,0,1,0,0,1,0
232,0,0,0,0,0,0,0
233,1,0,0,1,0,0,0
234,0,0,2,2,1,0,0
235,0,0,0,3,1,0,0
236,1,0,0,1,0,1,0
237,0,0,0,0,0,0,0
238,0,1,0,1,0,0,0
239,0,0,0,0,0,0,0
240,0,0,1,0,0,0,0
241,1,1,1,1,0,2,1
242,0,2,1,0,1,0,1
243,0,0,0,1,0,0,1
244,0,0,0,1,2,3,1
245,3,1,0,1,0,0,0
246,0,0,0,0,0,1,0
247,0,0,0,0,1,3,1
248,0,0,0,0,0,2,0
249,2,0,0,0,1,0,0
250,0,2,1,1,1,0,1
251,0,0,0,0,0,0,1
252,1,2,1,2,1,0,1
253,0,0,0,0,0,1,1
254,0,0,0,1,0,1,0
255,0,0,1,0,0,1,0
256,0,0,0,0,0,1,0
257,0,0,1,0,0,1,0
258,0,2,1,1,0,0,1
259,0,0,0,0,0,0,1
260,0,0,0,0,0,1,1
261,0,0,0,4,1,0,0
262,2,0,0,1,0,0,0
263,0,0,0,0,0,2,0
264,0,0,0,1,0,0,0
265,0,0,0,0,1,0,1
266,2,1,0,0,1,0,0
267,1,0,1,0,0,0,1
268,0,0,1,1,1,1,0
269,0,1,1,1,1,0,1
270,0,0,0,0,0,0,1
271,0,0,0,0,1,1,0
272,0,0,0,1,0,1,0
273,1,1,1,0,0,0,0
274,2,1,1,4,3,1,0
275,1,0,0,1,0,2,1
276,1,1,0,1,0,0,0
277,1,2,1,5,0,1,0
278,1,0,0,0,1,2,0
279,0,0,0,0,0,1,0
280,1,0,0,3,3,2,1
281,0,0,0,0,0,1,0
282,0,0,0,0,0,1,1
283,0,0,1,0,0,0,0
284,0,0,0,0,1,0,1
285,0,1,1,0,0,0,0
286,0,0,0,0,0,1,0
287,0,0,0,0,1,2,1
288,1,0,0,1,0,0,0
289,1,1,0,0,3,0,0
290,0,0,0,0,0,1,1
291,0,0,0,0,0,1,0
292,0,0,1,0,2,0,0
293,1,2,1,3,2,0,1
294,0,0,0,0,0,1,0
